id,registration,model_id,airline_id,location_id,livery,tags,remark,folder
1,B-6802,A320ceo,CES,ZUUU,,,,E:\摄像存档\航空摄影\A320ceo\中国东方航空\B-6802_双流
2,B-6927,A320ceo,CES,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国东方航空\B-6927_海口
3,B-8977,A320ceo,CES,ZJHK,天合联盟,"Special Livery,Jetphotos",,E:\摄像存档\航空摄影\A320ceo\中国东方航空\B-8977_天合联盟_海口
4,B-1625,A320ceo,CSN,ZJHK,海南消博会,Special Livery,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-1625_海南消博会_海口
5,B-1626,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-1626_海口
6,B-1696,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-1696_海口
7,B-1805,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-1805_海口
8,B-6253,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-6253_海口
9,B-6342,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-6342_海口
10,B-6355,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-6355_海口
11,B-6622,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-6622_海口
12,B-6653,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-6653_海口
13,B-6679,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-6679_海口
14,B-6827,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-6827_海口
15,B-8675,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-8675_海口
16,B-8676,A320ceo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国南方航空\B-8676_海口
17,B-6478,A320ceo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A320ceo\中国国际航空\B-6478_双流
18,B-6712,A320ceo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A320ceo\中国国际航空\B-6712_双流
19,B-6916,A320ceo,CCA,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\中国国际航空\B-6916_海口
20,B-6817,A320ceo,CBG,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\北部湾航空\B-6817_海口
21,B-8733,A320ceo,CBG,ZJSY,文化济宁,Special Livery,,E:\摄像存档\航空摄影\A320ceo\北部湾航空\B-8733_文化济宁_三亚
22,B-304T,A320ceo,HXA,ZJHK,浙新集成灶,Special Livery,,E:\摄像存档\航空摄影\A320ceo\华夏航空\B-304T_浙新集成灶_海口
23,B-8696,A320ceo,HXA,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\华夏航空\B-8696_海口
24,B-1891,A320ceo,CSC,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\四川航空\B-1891_海口
25,B-6325,A320ceo,CSC,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\四川航空\B-6325_海口
26,B-6347,A320ceo,CSC,ZSAM,,,,E:\摄像存档\航空摄影\A320ceo\四川航空\B-6347_厦门
27,B-6810,A320ceo,CSC,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\四川航空\B-6810_海口
28,B-6920,A320ceo,CSC,ZUUU,,,,E:\摄像存档\航空摄影\A320ceo\四川航空\B-6920_双流
29,B-8686,A320ceo,CSC,ZUUU,,,,E:\摄像存档\航空摄影\A320ceo\四川航空\B-8686_双流
30,B-8877,A320ceo,CSC,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\四川航空\B-8877_海口
31,B-1659,A320ceo,GCR,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\天津航空\B-1659_海口
32,B-9963,A320ceo,GCR,ZJHK,中新天津生态城,Special Livery,,E:\摄像存档\航空摄影\A320ceo\天津航空\B-9963_中新天津生态城_海口
33,B-8610,A320ceo,UEA,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\成都航空\B-8610_海口
34,B-1037,A320ceo,CGH,ZJHK,猫儿山泉,Special Livery,,E:\摄像存档\航空摄影\A320ceo\桂林航空\B-1037_猫儿山泉_海口
35,B-1040,A320ceo,CGH,ZJHK,象山景区,Special Livery,,E:\摄像存档\航空摄影\A320ceo\桂林航空\B-1040_象山景区_海口
36,B-301C,A320ceo,CGH,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\桂林航空\B-301C_海口
37,B-6296,A320ceo,CSZ,ZJHK,星空联盟,Special Livery,,E:\摄像存档\航空摄影\A320ceo\深圳航空\B-6296_星空联盟_海口
38,B-6392,A320ceo,CSZ,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\深圳航空\B-6392_海口
39,B-8282,A320ceo,QDA,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\青岛航空\B-8282_海口
40,B-8443,A320ceo,QDA,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\青岛航空\B-8443_海口
41,B-6182,A320ceo,CBJ,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\首都航空\B-6182_海口
42,B-6245,A320ceo,CBJ,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\首都航空\B-6245_海口
43,B-6877,A320ceo,CBJ,ZJHK,,,,E:\摄像存档\航空摄影\A320ceo\首都航空\B-6877_海口
44,B-6958,A320ceo,CBJ,ZJHK,奔腾汽车,"Special Livery,Jetphotos",,E:\摄像存档\航空摄影\A320ceo\首都航空\B-6958_奔腾汽车_海口
45,B-HPH,A320neo,Cathay Pacific,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\Cathay Pacific\B-HPH_海口
46,B-32N0,A320neo,CES,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\中国东方航空\B-32N0_海口
47,B-32N1,A320neo,CES,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\中国东方航空\B-32N1_海口
48,B-307L,A320neo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\中国南方航空\B-307L_海口
49,B-32K1,A320neo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\中国南方航空\B-32K1_海口
50,B-32L1,A320neo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\中国南方航空\B-32L1_海口
51,B-32L7,A320neo,CSN,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\中国南方航空\B-32L7_海口
52,B-30FY,A320neo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A320neo\中国国际航空\B-30FY_双流
53,B-324H,A320neo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A320neo\中国国际航空\B-324H_双流
54,B-327R,A320neo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A320neo\中国国际航空\B-327R_双流
55,B-329V,A320neo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A320neo\中国国际航空\B-329V_双流
56,B-6556,A320neo,CCA,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\中国国际航空\B-6556_海口
57,B-32HM,A320neo,HXA,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\华夏航空\B-32HM_海口
58,B-323P,A320neo,CGZ,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\多彩贵州航空\B-323P_海口
59,B-329J,A320neo,CGZ,ZJHK,茅台,"Special Livery,Jetphotos",,E:\摄像存档\航空摄影\A320neo\多彩贵州航空\B-329J_茅台_海口
60,B-32GU,A320neo,UEA,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\成都航空\B-32GU_海口
61,B-328X,A320neo,CDC,ZUUU,,,,E:\摄像存档\航空摄影\A320neo\浙江长龙航空\B-328X_双流
62,B-32GL,A320neo,CHH,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\海南航空\B-32GL_海口
63,B-32K7,A320neo,CHH,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\海南航空\B-32K7_海口
64,B-32PY,A320neo,CHH,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\海南航空\B-32PY_海口
65,B-300N,A320neo,CSZ,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\深圳航空\B-300N_海口
66,B-309Q,A320neo,CSZ,ZJHK,,,,E:\摄像存档\航空摄影\A320neo\深圳航空\B-309Q_海口
67,B-6426,A320neo,TBA,ZUUU,,,,E:\摄像存档\航空摄影\A320neo\西藏航空\B-6426_双流
68,B-30F1,A320neo,CBJ,ZJSY,,,,E:\摄像存档\航空摄影\A320neo\首都航空\B-30F1_三亚
69,B-5918,A330ceo,CCA,ZJHK,,,,E:\摄像存档\航空摄影\A330ceo\中国国际航空\B-5918_海口
70,B-5957,A330ceo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A330ceo\中国国际航空\B-5957_双流
71,B-6072,A330ceo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A330ceo\中国国际航空\B-6072_双流
72,B-6523,A330ceo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A330ceo\中国国际航空\B-6523_双流
73,B-8577,A330ceo,CCA,ZUUU,,,,E:\摄像存档\航空摄影\A330ceo\中国国际航空\B-8577_双流
74,B-5960,A330ceo,CSC,ZUUU,国运长虹,Special Livery,,E:\摄像存档\航空摄影\A330ceo\四川航空\B-5960_国运长虹_双流
75,B-6520,A330ceo,CHH,ZJHK,三亚亚沙号,"Special Livery,Jetphotos",,E:\摄像存档\航空摄影\A330ceo\海南航空\B-6520_三亚亚沙号_海口
